trialJobId,default,-latency,-dram,search_k,recall,n_trees
jwdZn,-0.004874958522584715,-10.134378055731455,-2258.2340494791665,7500,0.8783833333333333,50
qcqk1,-0.00011584995587667762,-10.263735830783844,-2234.3473307291665,8000,0.8844166666666666,50
IrPMb,0.0014541204420725484,-10.073103964328766,-2250.2916666666665,8500,0.8901166666666667,50
kT6nU,-0.007774929329554259,-11.462175190448761,-2265.2379557291665,9000,0.8948833333333334,50
lfd46,-0.035632609658771096,-16.38757409652074,-2236.8675130208335,9500,0.8979166666666666,50
ajqNZ,-0.00940422539710998,-12.452213704586029,-2246.4488932291665,10000,0.9009166666666665,50
NpXx1,-0.11221448584132725,-14.502547125021616,-2287.2789713541665,-1,0.6492083333333335,60
ghI6L,-0.17799523531383943,-1.28401784102122,-2272.9479166666665,50,0.32478333333333326,60
kppBE,-0.15169816682391696,-0.9039854605992635,-2295.0426432291665,100,0.39186666666666664,60
WE1Lv,-0.12209841146892973,-0.9180918137232462,-2281.5774739583335,200,0.4615583333333333,60
ILuiw,-0.10472690521770056,-1.035926361878713,-2286.9117838541665,300,0.5090166666666666,60
pC9u2,-0.0911552131398519,-1.1774754524230957,-2276.0442708333335,400,0.5418166666666667,60
iTMKN,-0.08144649560504491,-1.3477725585301716,-2275.9205729166665,500,0.5682833333333334,60
PHkOZ,-0.0759279285780589,-1.7663211226463318,-2293.8935546875,600,0.5936166666666667,60
cxRaE,-0.06527891402138604,-1.7304305632909138,-2297.0618489583335,700,0.6187666666666666,60
nqtCf,-0.06086310525576277,-1.912849485874176,-2317.603515625,800,0.6382333333333334,60
GqzDy,-0.052562075080871566,-1.9706389904022217,-2320.5302734375,900,0.659525,60
zzlpg,-0.04496633768929375,-2.139398773511251,-2296.873046875,1000,0.672825,60
kQjfj,-0.02951265580919053,-2.648840586344401,-2315.7076822916665,1500,0.7234166666666666,60
y1bWg,-0.024132555816438455,-4.239639262358348,-2309.8854166666665,2000,0.7594083333333334,60
o6xf3,-0.01546273670302495,-4.208881239096324,-2327.6663411458335,2500,0.7841916666666666,60
mLW9i,-0.011657117751439391,-4.9139809012413025,-2329.1477864583335,3000,0.8044083333333333,60
zqNpc,-0.009516291890674156,-5.500750561555226,-2330.0725911458335,3500,0.8188,60
Is9sH,-0.010273592347039137,-6.084871371587117,-2346.7115885416665,4000,0.8313000000000001,60
gg4u2,-0.0023281730026669134,-5.849756101767222,-2333.8570963541665,4500,0.8423583333333334,60
vbhmK,-0.001993539704216868,-6.289460261662801,-2334.5309244791665,5000,0.8504166666666667,60
J5vum,-0.0057358406162261845,-6.723288476467133,-2361.6334635416665,5500,0.8565166666666665,60
A0Wq2,-0.003674204512702108,-7.345430771509807,-2340.4446614583335,6000,0.8646416666666665,60
bgHHm,-0.0044463516924116335,-7.70988251765569,-2344.5771484375,6500,0.8697083333333334,60
VBKRW,-0.008527258470323366,-8.390085856119791,-2369.1292317708335,7000,0.8782083333333334,60
Jpdi0,-0.005093472558127504,-8.561944345633188,-2353.27734375,7500,0.8842416666666665,60
TrXZg,-0.018409727219475643,-10.565506537755331,-2371.2998046875,8000,0.8896083333333332,60
z2t4B,-0.016968623671001857,-11.036758760611216,-2349.6276041666665,8500,0.8939416666666666,60
Jah4z,-0.020174205735524493,-11.844347596168518,-2344.3225911458335,9000,0.8974083333333334,60
vQPeC,-0.017596290795008324,-11.682599365711212,-2349.7903645833335,9500,0.9023749999999998,60
BBXqT,-0.018579820522732198,-11.661890665690104,-2369.3411458333335,10000,0.9057749999999999,60
Dquog,-0.09040806685023843,-6.291771550973256,-2411.3473307291665,-1,0.6713333333333332,70
y2Kxh,-0.19831063077608743,-2.9814327359199524,-2323.630859375,50,0.33089166666666675,70
kHNkG,-0.16080050706121657,-0.7960902651151022,-2362.80859375,100,0.39995,70
mElpG,-0.1340626133844588,-0.945384164651235,-2359.5533854166665,200,0.46832499999999994,70
VyLCc,-0.11358305191887752,-1.1077974637349446,-2344.3837890625,300,0.5174333333333334,70
NiO8H,-0.10478109843466016,-1.2718043526013691,-2361.2389322916665,400,0.5480833333333331,70
hs20P,-0.09509355503294203,-1.3885993560155232,-2363.552734375,500,0.5745666666666666,70
pdPb3,-0.08467316557354398,-1.5607953468958538,-2367.6363932291665,600,0.6021166666666667,70
L6X1G,-0.07455232354482015,-1.6758267879486084,-2370.5891927083335,700,0.6282166666666665,70
TQIGm,-0.06770965336375763,-1.7838127811749775,-2371.8512369791665,800,0.6455916666666667,70
iq32J,-0.06151714022742375,-1.9412392775217693,-2391.6552734375,900,0.6675749999999999,70
KI9fp,-0.05843242546187508,-2.229089359442393,-2394.8063151041665,1000,0.6803750000000001,70
JisDd,-0.04310161138110691,-2.681691368420919,-2414.5804036458335,1500,0.7288749999999999,70
FljM5,-0.03498355388217501,-4.027870972951253,-2406.6474609375,2000,0.7661916666666665,70
UyAPN,-0.026619338032404575,-4.0593385100364685,-2420.7835286458335,2500,0.7893833333333334,70
ozL3b,-0.025777629148695202,-4.704538186391194,-2438.1487630208335,3000,0.8059416666666666,70
VdvX9,-0.025022310560014523,-5.590861598650615,-2443.068359375,3500,0.8223999999999999,70
ur0VU,-0.023080027190314396,-6.419821659723918,-2431.9381510416665,4000,0.8363,70
At712,-0.023870946266386226,-6.993487139542897,-2439.5338541666665,4500,0.8452999999999999,70
MCU6R,-0.02460853204833137,-7.6810564796129865,-2438.2200520833335,5000,0.8533583333333333,70
mwKf2,-0.029929790064493814,-8.709208011627197,-2452.3707682291665,5500,0.8609249999999999,70
uevWE,-0.02880502057181465,-9.276520053545633,-2440.9352213541665,6000,0.8688166666666666,70
TsKQs,-0.023121811885833763,-8.686217904090881,-2451.2275390625,6500,0.8757833333333335,70
DF1wB,-0.01979968639585707,-8.3351282676061,-2455.7858072916665,7000,0.8794000000000001,70
Jhxye,-0.02687062429428101,-9.628086686134338,-2461.517578125,7500,0.8844,70
QFg0P,-0.027204773866865362,-10.274790008862814,-2452.4622395833335,8000,0.8910666666666667,70
mfwFS,-0.028816174303690604,-10.790278196334839,-2456.4143880208335,8500,0.8963666666666666,70
wiLk2,-0.03474473836580911,-11.788543045520782,-2464.8863932291665,9000,0.9007666666666667,70
kUxmS,-0.031096005112330124,-11.33382374048233,-2475.6998697916665,9500,0.9052333333333333,70
R3PFj,-0.03273244348102144,-12.130390127499899,-2458.0921223958335,10000,0.9085,70
n0heI,-0.13916392941157021,-20.91931829849879,-2505.2884114583335,-1,0.6874250000000001,80
ilT64,-0.21408050078709925,-3.050073027610779,-2417.4235026041665,50,0.33055833333333334,80
oNOoG,-0.17393733943409392,-0.9215934077898661,-2439.5188802083335,100,0.40077500000000005,80
bhXfo,-0.14779058282640245,-1.119266668955485,-2440.0419921875,200,0.4698333333333334,80
fJVLs,-0.13002460604667668,-1.3393362164497375,-2440.0771484375,300,0.5183916666666667,80
Di0e3,-0.11899516415278118,-1.4376400709152222,-2449.689453125,400,0.5506333333333333,80
